,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
31839,3795,KPVD,large_airport,Theodore Francis Green State Airport,41.732601,-71.42040300000001,55.0,,US,US-RI,Providence,yes,KPVD,PVD,PVD,,https://en.wikipedia.org/wiki/T._F._Green_Airport,
31852,3796,KPWM,large_airport,Portland International Jetport,43.646198,-70.309303,76.0,,US,US-ME,Portland,yes,KPWM,PWM,PWM,,https://en.wikipedia.org/wiki/Portland_International_Jetport,
32944,3844,KRDU,large_airport,Raleigh Durham International Airport,35.877601623535156,-78.7874984741211,435.0,,US,US-NC,Raleigh/Durham,yes,KRDU,RDU,RDU,,https://en.wikipedia.org/wiki/Raleigh-Durham_International_Airport,
32948,3845,KRFD,large_airport,Chicago Rockford International Airport,42.19540023803711,-89.09719848632812,742.0,,US,US-IL,Chicago/Rockford,yes,KRFD,RFD,RFD,,https://en.wikipedia.org/wiki/Chicago/Rockford_International_Airport,
32955,3847,KRIC,large_airport,Richmond International Airport,37.50519943237305,-77.3197021484375,167.0,,US,US-VA,Richmond,yes,KRIC,RIC,RIC,,https://en.wikipedia.org/wiki/Richmond_International_Airport,
32978,3852,KRND,large_airport,Randolph Air Force Base,29.52969933,-98.27890015,761.0,,US,US-TX,Universal City,no,KRND,RND,RND,http://www.military.com/base-guide/randolph-air-force-base,https://en.wikipedia.org/wiki/Randolph_Air_Force_Base,
32981,3853,KRNO,large_airport,Reno Tahoe International Airport,39.49909973144531,-119.76799774169922,4415.0,,US,US-NV,Reno,yes,KRNO,RNO,RNO,,https://en.wikipedia.org/wiki/Reno-Tahoe_International_Airport,
32985,3854,KROA,large_airport,Roanoke–Blacksburg Regional Airport,37.3255,-79.975403,1175.0,,US,US-VA,Roanoke,yes,KROA,ROA,ROA,http://www.roanokeairport.com/,https://en.wikipedia.org/wiki/Roanoke%E2%80%93Blacksburg_Regional_Airport,Woodrum Field
32986,3855,KROC,large_airport,Greater Rochester International Airport,43.118900299072266,-77.67240142822266,559.0,,US,US-NY,Rochester,yes,KROC,ROC,ROC,,https://en.wikipedia.org/wiki/Greater_Rochester_International_Airport,
33005,3857,KRST,large_airport,Rochester International Airport,43.90829849243164,-92.5,1317.0,,US,US-MN,Rochester,yes,KRST,RST,RST,,https://en.wikipedia.org/wiki/Rochester_International_Airport,
33007,3858,KRSW,large_airport,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,30.0,,US,US-FL,Fort Myers,yes,KRSW,RSW,RSW,http://www.flylcpa.com/,https://en.wikipedia.org/wiki/Southwest_Florida_International_Airport,
33081,3862,KSAN,large_airport,San Diego International Airport,32.7336006165,-117.190002441,17.0,,US,US-CA,San Diego,yes,KSAN,SAN,SAN,http://www.san.org/,https://en.wikipedia.org/wiki/San_Diego_International_Airport,Lindbergh Field
33083,3863,KSAT,large_airport,San Antonio International Airport,29.533701,-98.469803,809.0,,US,US-TX,San Antonio,yes,KSAT,SAT,SAT,https://www.sanantonio.gov/aviation,https://en.wikipedia.org/wiki/San_Antonio_International_Airport,
33084,3864,KSAV,large_airport,Savannah Hilton Head International Airport,32.12760162,-81.20210266,50.0,,US,US-GA,Savannah,yes,KSAV,SAV,SAV,,https://en.wikipedia.org/wiki/Savannah/Hilton_Head_International_Airport,
33090,3868,KSBN,large_airport,South Bend Regional Airport,41.70869827270508,-86.31729888916016,799.0,,US,US-IN,South Bend,yes,KSBN,SBN,SBN,,https://en.wikipedia.org/wiki/South_Bend_Regional_Airport,
33104,3873,KSDF,large_airport,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,yes,KSDF,SDF,SDF,http://www.flylouisville.com,https://en.wikipedia.org/wiki/Louisville_International_Airport,"Louisville International, Standiford Field"
33108,3875,KSEA,large_airport,Seattle Tacoma International Airport,47.449001,-122.308998,433.0,,US,US-WA,Seattle,yes,KSEA,SEA,SEA,http://www.portseattle.org/seatac/,https://en.wikipedia.org/wiki/Seattle–Tacoma_International_Airport,
33118,3876,KSFB,large_airport,Orlando Sanford International Airport,28.7775993347168,-81.23750305175781,55.0,,US,US-FL,Orlando,yes,KSFB,SFB,SFB,,https://en.wikipedia.org/wiki/Orlando_Sanford_International_Airport,
33121,3878,KSFO,large_airport,San Francisco International Airport,37.61899948120117,-122.375,13.0,,US,US-CA,San Francisco,yes,KSFO,SFO,SFO,http://www.flysfo.com/,https://en.wikipedia.org/wiki/San_Francisco_International_Airport,"QSF, QBA"
33126,3879,KSGF,large_airport,Springfield Branson National Airport,37.24570084,-93.38860321,1268.0,,US,US-MO,Springfield,yes,KSGF,SGF,SGF,,https://en.wikipedia.org/wiki/Springfield/Branson_National_Airport,
33142,3883,KSJC,large_airport,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,62.0,,US,US-CA,San Jose,yes,KSJC,SJC,SJC,http://www.flysanjose.com/,https://en.wikipedia.org/wiki/San_Jose_International_Airport,"QSF, QBA"
33146,3885,KSKA,large_airport,Fairchild Air Force Base,47.6151008606,-117.65599823,2461.0,,US,US-WA,Spokane,no,KSKA,SKA,SKA,http://www.fairchild.af.mil/,https://en.wikipedia.org/wiki/Fairchild_Air_Force_Base,
33152,3887,KSLC,large_airport,Salt Lake City International Airport,40.78839874267578,-111.97799682617188,4227.0,,US,US-UT,Salt Lake City,yes,KSLC,SLC,SLC,,https://en.wikipedia.org/wiki/Salt_Lake_City_International_Airport,
33164,3892,KSMF,large_airport,Sacramento International Airport,38.69540023803711,-121.59100341796876,27.0,,US,US-CA,Sacramento,yes,KSMF,SMF,SMF,,https://en.wikipedia.org/wiki/Sacramento_International_Airport,
33170,3894,KSNA,large_airport,John Wayne Airport-Orange County Airport,33.67570114,-117.86799620000001,56.0,,US,US-CA,Santa Ana,yes,KSNA,SNA,SNA,http://www.ocair.com/,https://en.wikipedia.org/wiki/John_Wayne_Airport,"Disney, Disneyland, Orange County"
33187,3897,KSPI,large_airport,Abraham Lincoln Capital Airport,39.84410095,-89.67790222,598.0,,US,US-IL,Springfield,yes,KSPI,SPI,SPI,,https://en.wikipedia.org/wiki/Abraham_Lincoln_Capital_Airport,
33188,3898,KSPS,large_airport,Sheppard Air Force Base-Wichita Falls Municipal Airport,33.9888,-98.49189799999999,1019.0,,US,US-TX,Wichita Falls,yes,KSPS,SPS,SPS,http://www.flywichitafalls.net/,https://en.wikipedia.org/wiki/Wichita_Falls_Municipal_Airport,Sheppard Air Force Base
33197,3899,KSRQ,large_airport,Sarasota Bradenton International Airport,27.39539909362793,-82.55439758300781,30.0,,US,US-FL,Sarasota/Bradenton,yes,KSRQ,SRQ,SRQ,,https://en.wikipedia.org/wiki/Sarasota-Bradenton_International_Airport,
33199,3901,KSSC,large_airport,Shaw Air Force Base,33.97269821,-80.47059631,241.0,,US,US-SC,Sumter,no,KSSC,SSC,SSC,http://www.shaw.af.mil/,https://en.wikipedia.org/wiki/Shaw_Air_Force_Base,
33209,3905,KSTL,large_airport,St Louis Lambert International Airport,38.748697,-90.370003,618.0,,US,US-MO,St Louis,yes,KSTL,STL,STL,https://www.flystl.com/,https://en.wikipedia.org/wiki/St._Louis_Lambert_International_Airport,Lambert St Louis
33217,3907,KSUS,large_airport,Spirit of St Louis Airport,38.662101745605,-90.652000427246,463.0,,US,US-MO,St Louis,no,KSUS,SUS,SUS,http://spiritairport.com/spiritairport/index.jsp,https://en.wikipedia.org/wiki/Spirit_of_St._Louis_Airport,
33219,3908,KSUU,large_airport,Travis Air Force Base,38.262699127196996,-121.92700195312,62.0,,US,US-CA,Fairfield,no,KSUU,SUU,SUU,http://www.travis.af.mil/,https://en.wikipedia.org/wiki/Travis_Air_Force_Base,
33221,3909,KSUX,large_airport,Sioux Gateway Airport/Brigadier General Bud Day Field,42.402599,-96.384399,1098.0,,US,US-IA,Sioux City,yes,KSUX,SUX,SUX,https://www.sioux-city.org/government/departments-a-f/airport,https://en.wikipedia.org/wiki/Sioux_Gateway_Airport,"Col. Bud Day, Sioux City AB, Sioux City AAB"
33236,3913,KSYR,large_airport,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,421.0,,US,US-NY,Syracuse,yes,KSYR,SYR,SYR,http://www.syrairport.org/,https://en.wikipedia.org/wiki/Syracuse_Hancock_International_Airport,
33238,3914,KSZL,large_airport,Whiteman Air Force Base,38.73030090332,-93.547897338867,870.0,,US,US-MO,Knob Noster,no,KSZL,SZL,SZL,http://www.whiteman.af.mil/,https://en.wikipedia.org/wiki/Whiteman_Air_Force_Base,Sedalia Glider Base
33288,3918,KTCM,large_airport,McChord Air Force Base,47.1376991272,-122.475997925,322.0,,US,US-WA,Tacoma,no,KTCM,TCM,TCM,,https://en.wikipedia.org/wiki/McChord_Air_Force_Base,
33307,3921,KTIK,large_airport,Tinker Air Force Base,35.414699554443004,-97.386596679688,1291.0,,US,US-OK,Oklahoma City,no,KTIK,TIK,TIK,http://www.tinker.af.mil/,https://en.wikipedia.org/wiki/Tinker_Air_Force_Base,Midwest Air Depot
33317,3924,KTLH,large_airport,Tallahassee Regional Airport,30.396499633789066,-84.35030364990234,81.0,,US,US-FL,Tallahassee,yes,KTLH,TLH,TLH,,https://en.wikipedia.org/wiki/Tallahassee_Regional_Airport,
33331,3925,KTOL,large_airport,Toledo Express Airport,41.58679962,-83.80780029,683.0,,US,US-OH,Toledo,yes,KTOL,TOL,TOL,,https://en.wikipedia.org/wiki/Toledo_Express_Airport,
33334,3926,KTPA,large_airport,Tampa International Airport,27.975500106811523,-82.533203125,26.0,,US,US-FL,Tampa,yes,KTPA,TPA,TPA,,https://en.wikipedia.org/wiki/Tampa_International_Airport,
33341,3928,KTRI,large_airport,Tri-Cities Regional TN/VA Airport,36.475201,-82.40740100000001,1519.0,,US,US-TN,Bristol/Johnson/Kingsport,yes,KTRI,TRI,TRI,,https://en.wikipedia.org/wiki/Tri-Cities_Regional_Airport,
33353,3930,KTUL,large_airport,Tulsa International Airport,36.19839859008789,-95.88809967041016,677.0,,US,US-OK,Tulsa,yes,KTUL,TUL,TUL,,https://en.wikipedia.org/wiki/Tulsa_International_Airport,
33355,3932,KTUS,large_airport,Tucson International Airport / Morris Air National Guard Base,32.115004,-110.938053,2643.0,,US,US-AZ,Tucson,yes,KTUS,TUS,TUS,https://www.flytucson.com/,https://en.wikipedia.org/wiki/Tucson_International_Airport,"tucson, tucson international, morris angb"
33371,3938,KTYS,large_airport,McGhee Tyson Airport,35.81100082,-83.99400329999999,981.0,,US,US-TN,Knoxville,yes,KTYS,TYS,TYS,,https://en.wikipedia.org/wiki/McGhee_Tyson_Airport,
33453,3944,KVBG,large_airport,Vandenberg Air Force Base,34.7373008728,-120.583999634,369.0,,US,US-CA,Lompoc,no,KVBG,VBG,VBG,,https://en.wikipedia.org/wiki/Vandenberg_Air_Force_Base,
33481,3948,KVPS,large_airport,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87.0,,US,US-FL,Valparaiso,yes,KVPS,VPS,VPS,http://www.flyvps.com/,https://en.wikipedia.org/wiki/Destin%E2%80%93Fort_Walton_Beach_Airport,Eglin AFB
33531,3951,KWRB,large_airport,Robins Air Force Base,32.640098571799996,-83.59190368649999,294.0,,US,US-GA,Warner Robins,no,KWRB,WRB,WRB,http://www.robins.af.mil/,https://en.wikipedia.org/wiki/Robins_Air_Force_Base,
42112,5360,PAFA,large_airport,Fairbanks International Airport,64.81510162,-147.85600280000003,439.0,,US,US-AK,Fairbanks,yes,PAFA,FAI,FAI,,https://en.wikipedia.org/wiki/Fairbanks_International_Airport,
42187,5388,PANC,large_airport,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,yes,PANC,ANC,ANC,,https://en.wikipedia.org/wiki/Ted_Stevens_Anchorage_International_Airport,
42770,5453,PHNL,large_airport,Daniel K Inouye International Airport,21.32062,-157.924228,13.0,,US,US-HI,Honolulu,yes,PHNL,HNL,HNL,http://airports.hawaii.gov/hnl/,https://en.wikipedia.org/wiki/Daniel_K._Inouye_International_Airport,"Hickam Air Force Base, HIK, PHIK, KHNL, Honolulu International"
